OBJECTID,SEX_CODE,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,Vaccination_Date
273,Female,3532,356519,1366,127175,2/7/2021 15:00:00
274,Female,7543,364062,8312,135487,2/8/2021 15:00:00
275,Male,4792,212024,4884,72862,2/8/2021 15:00:00
276,Unknown Gender,164,9932,15,8367,2/8/2021 15:00:00
277,Male,6205,218229,5404,78266,2/9/2021 15:00:00
278,Unknown Gender,155,10087,20,8387,2/9/2021 15:00:00
279,Female,9556,373618,8780,144267,2/9/2021 15:00:00
280,Unknown Gender,95,10182,105,8492,2/10/2021 15:00:00
281,Female,11469,385087,13686,157953,2/10/2021 15:00:00
282,Male,7237,225466,8016,86282,2/10/2021 15:00:00
283,Unknown Gender,89,10271,138,8630,2/11/2021 15:00:00
284,Female,13611,398698,11197,169150,2/11/2021 15:00:00
285,Male,8863,234329,7317,93599,2/11/2021 15:00:00
286,Unknown Gender,29,10300,99,8729,2/12/2021 15:00:00
287,Female,12088,410786,13337,182487,2/12/2021 15:00:00
288,Male,7544,241873,7283,100882,2/12/2021 15:00:00
289,Unknown Gender,5,10305,5,8734,2/13/2021 15:00:00
290,Female,6385,417171,4098,186585,2/13/2021 15:00:00
291,Male,4455,246328,2429,103311,2/13/2021 15:00:00
292,Unknown Gender,2,10307,0,8734,2/14/2021 15:00:00
293,Female,4145,421316,1853,188438,2/14/2021 15:00:00
294,Male,2729,249057,1208,104519,2/14/2021 15:00:00
295,Male,4723,253780,4556,109075,2/15/2021 15:00:00
296,Unknown Gender,13,10320,93,8827,2/15/2021 15:00:00
297,Female,6897,428213,8476,196914,2/15/2021 15:00:00
298,Female,9553,437766,13213,210127,2/16/2021 15:00:00
299,Unknown Gender,179,10499,201,9028,2/16/2021 15:00:00
300,Male,6699,260479,8149,117224,2/16/2021 15:00:00
301,Male,7674,268153,9981,127205,2/17/2021 15:00:00
302,Unknown Gender,266,10765,61,9089,2/17/2021 15:00:00
303,Female,12533,450299,16691,226818,2/17/2021 15:00:00
304,Unknown Gender,6,10771,4,9093,2/18/2021 15:00:00
305,Male,1482,269635,1829,129034,2/18/2021 15:00:00
306,Female,1825,452124,2892,229710,2/18/2021 15:00:00
307,Unknown Gender,35,10806,26,9119,2/19/2021 15:00:00
308,Female,6140,458264,12734,242444,2/19/2021 15:00:00
309,Male,4532,274167,7683,136717,2/19/2021 15:00:00
310,Unknown Gender,25,10831,69,9188,2/20/2021 15:00:00
311,Female,5944,464208,13318,255762,2/20/2021 15:00:00
312,Male,4053,278220,7298,144015,2/20/2021 15:00:00
313,Unknown Gender,5,10836,4,9192,2/21/2021 15:00:00
314,Female,3545,467753,4803,260565,2/21/2021 15:00:00
315,Male,2474,280694,2936,146951,2/21/2021 15:00:00
316,Unknown Gender,12,10848,14,9206,2/22/2021 15:00:00
317,Female,4605,472358,9749,270314,2/22/2021 15:00:00
318,Male,3439,284133,6008,152959,2/22/2021 15:00:00
319,Unknown Gender,174,11022,24,9230,2/23/2021 15:00:00
320,Male,6233,290366,6457,159416,2/23/2021 15:00:00
321,Female,8994,481352,10310,280624,2/23/2021 15:00:00
322,Female,10434,491786,15560,296184,2/24/2021 15:00:00
323,Unknown Gender,9,11031,46,9276,2/24/2021 15:00:00
324,Male,7280,297646,10222,169638,2/24/2021 15:00:00
325,Male,8230,305876,10920,180558,2/25/2021 15:00:00
326,Unknown Gender,33,11064,179,9455,2/25/2021 15:00:00
327,Female,11602,503388,16927,313111,2/25/2021 15:00:00
328,Male,10668,316544,10565,191123,2/26/2021 15:00:00
329,Unknown Gender,25,11089,222,9677,2/26/2021 15:00:00
330,Female,15408,518796,17221,330332,2/26/2021 15:00:00
331,Unknown Gender,3,11092,6,9683,2/27/2021 15:00:00
332,Male,6396,322940,4976,196099,2/27/2021 15:00:00
333,Female,9281,528077,8552,338884,2/27/2021 15:00:00
334,Unknown Gender,25,11117,23,9706,2/28/2021 15:00:00
335,Male,6271,329211,4518,200617,2/28/2021 15:00:00
336,Female,9048,537125,6861,345745,2/28/2021 15:00:00
337,Unknown Gender,132,11249,165,9871,3/1/2021 15:00:00
338,Male,10161,339372,8363,208980,3/1/2021 15:00:00
339,Female,13592,550717,12166,357911,3/1/2021 15:00:00
340,Female,13279,563996,17336,375247,3/2/2021 15:00:00
341,Unknown Gender,67,11316,190,10061,3/2/2021 15:00:00
342,Male,9765,349137,11919,220899,3/2/2021 15:00:00
343,Unknown Gender,184,11500,173,10234,3/3/2021 15:00:00
344,Male,12452,361589,15976,236875,3/3/2021 15:00:00
345,Female,16431,580427,22681,397928,3/3/2021 15:00:00
346,Female,19106,599533,25127,423055,3/4/2021 15:00:00
347,Unknown Gender,134,11634,210,10444,3/4/2021 15:00:00
348,Male,14517,376106,17900,254775,3/4/2021 15:00:00
349,Unknown Gender,145,11779,297,10741,3/5/2021 15:00:00
350,Male,13990,390096,17196,271971,3/5/2021 15:00:00
351,Female,18410,617943,25169,448224,3/5/2021 15:00:00
352,Male,10081,400177,9660,281631,3/6/2021 15:00:00
353,Unknown Gender,20,11799,20,10761,3/6/2021 15:00:00
354,Female,13155,631098,13718,461942,3/6/2021 15:00:00
355,Unknown Gender,25,11824,10,10771,3/7/2021 15:00:00
356,Male,8125,408302,7971,289602,3/7/2021 15:00:00
357,Female,10293,641391,10414,472356,3/7/2021 15:00:00
358,Unknown Gender,351,12175,322,11093,3/8/2021 15:00:00
359,Male,14860,423162,16492,306094,3/8/2021 15:00:00
360,Female,18051,659442,20483,492839,3/8/2021 15:00:00
361,Unknown Gender,392,12567,408,11501,3/9/2021 15:00:00
362,Male,14934,438096,21074,327168,3/9/2021 15:00:00
363,Female,18228,677670,26760,519599,3/9/2021 15:00:00
364,Female,20166,697836,29479,549078,3/10/2021 15:00:00
365,Unknown Gender,187,12754,275,11776,3/10/2021 15:00:00
366,Male,16262,454358,22159,349327,3/10/2021 15:00:00
367,Unknown Gender,160,12914,235,12011,3/11/2021 15:00:00
368,Male,16274,470632,22373,371700,3/11/2021 15:00:00
369,Female,20169,718005,29650,578728,3/11/2021 15:00:00
370,Female,20921,738926,30427,609155,3/12/2021 15:00:00
371,Male,16567,487199,22925,394625,3/12/2021 15:00:00
372,Unknown Gender,195,13109,212,12223,3/12/2021 15:00:00
373,Male,10081,497280,13705,408330,3/13/2021 15:00:00
374,Unknown Gender,36,13145,40,12263,3/13/2021 15:00:00
375,Female,12335,751261,17374,626529,3/13/2021 15:00:00
376,Male,7850,505130,10036,418366,3/14/2021 15:00:00
377,Unknown Gender,44,13189,46,12309,3/14/2021 15:00:00
378,Female,9071,760332,12178,638707,3/14/2021 15:00:00
379,Unknown Gender,518,13707,523,12832,3/15/2021 15:00:00
380,Male,12837,517967,17106,435472,3/15/2021 15:00:00
381,Female,15623,775955,21640,660347,3/15/2021 15:00:00
382,Unknown Gender,575,14282,741,13573,3/16/2021 15:00:00
383,Male,15084,533051,20342,455814,3/16/2021 15:00:00
384,Female,17568,793523,25075,685422,3/16/2021 15:00:00
385,Unknown Gender,475,14757,725,14298,3/17/2021 15:00:00
386,Female,20324,813847,29905,715327,3/17/2021 15:00:00
387,Male,16807,549858,23210,479024,3/17/2021 15:00:00
388,Unknown Gender,634,15391,656,14954,3/18/2021 15:00:00
389,Female,22002,835849,28678,744005,3/18/2021 15:00:00
390,Male,18799,568657,23660,502684,3/18/2021 15:00:00
391,Unknown Gender,397,15788,417,15371,3/19/2021 15:00:00
392,Female,20201,856050,28467,772472,3/19/2021 15:00:00
393,Male,16817,585474,22740,525424,3/19/2021 15:00:00
394,Unknown Gender,170,15958,173,15544,3/20/2021 15:00:00
395,Female,13191,869241,18875,791347,3/20/2021 15:00:00
396,Male,11089,596563,15016,540440,3/20/2021 15:00:00
397,Male,7965,604528,10344,550784,3/21/2021 15:00:00
398,Unknown Gender,121,16079,122,15666,3/21/2021 15:00:00
399,Female,8865,878106,12343,803690,3/21/2021 15:00:00
400,Female,17109,895215,23048,826738,3/22/2021 15:00:00
401,Unknown Gender,745,16824,858,16524,3/22/2021 15:00:00
402,Male,14382,618910,18966,569750,3/22/2021 15:00:00
403,Unknown Gender,787,17611,957,17481,3/23/2021 15:00:00
404,Male,17291,636201,24033,593783,3/23/2021 15:00:00
405,Female,19743,914958,29062,855800,3/23/2021 15:00:00
406,Unknown Gender,1612,19223,1655,19136,3/24/2021 15:00:00
407,Female,20908,935866,32567,888367,3/24/2021 15:00:00
408,Male,18346,654547,26488,620271,3/24/2021 15:00:00
409,Unknown Gender,2263,21486,2268,21404,3/25/2021 15:00:00
410,Female,21879,957745,33232,921599,3/25/2021 15:00:00
411,Male,19213,673760,27255,647526,3/25/2021 15:00:00
412,Unknown Gender,2114,23600,2139,23543,3/26/2021 15:00:00
413,Female,19329,977074,33656,955255,3/26/2021 15:00:00
414,Male,16496,690256,26516,674042,3/26/2021 15:00:00
415,Unknown Gender,58,23658,59,23602,3/27/2021 15:00:00
416,Female,14830,991904,23907,979162,3/27/2021 15:00:00
417,Male,13107,703363,19798,693840,3/27/2021 15:00:00
418,Unknown Gender,37,23695,55,23657,3/28/2021 15:00:00
419,Female,8261,1000165,13547,992709,3/28/2021 15:00:00
420,Male,7434,710797,11462,705302,3/28/2021 15:00:00
421,Male,7673,718470,13168,718470,3/29/2021 15:00:00
422,Unknown Gender,45,23740,83,23740,3/29/2021 15:00:00
423,Female,9075,1009240,16531,1009240,3/29/2021 15:00:00
