OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
111,4/3/2021 15:00:00,21557,1944243,18588.000000000000000,1105659,4425.000000000000000,100153.000000000000000,25982,2044396,23013,1205812,44570,3149967
112,4/4/2021 15:00:00,8263,1952506,10126.000000000000000,1115785,956.000000000000000,101109.000000000000000,9219,2053615,11082,1216894,19345,3169312
113,4/5/2021 15:00:00,27935,1980441,28997.000000000000000,1144782,6631.000000000000000,107740.000000000000000,34566,2088181,35628,1252522,63563,3232875
114,4/6/2021 15:00:00,39858,2020299,30504.000000000000000,1175286,10467.000000000000000,118207.000000000000000,50325,2138506,40971,1293493,80829,3313704
115,4/7/2021 15:00:00,36142,2056441,34170.000000000000000,1209456,12937.000000000000000,131144.000000000000000,49079,2187585,47107,1340600,83249,3396953
116,4/8/2021 15:00:00,42405,2098846,35988.000000000000000,1245444,13853.000000000000000,144997.000000000000000,56258,2243843,49841,1390441,92246,3489199
117,4/9/2021 15:00:00,34099,2132945,36299.000000000000000,1281743,14487.000000000000000,159484.000000000000000,48586,2292429,50786,1441227,84885,3574084
118,4/10/2021 15:00:00,23994,2156939,22960.000000000000000,1304703,7616.000000000000000,167100.000000000000000,31610,2324039,30576,1471803,54570,3628654
119,4/11/2021 15:00:00,17544,2174483,13229.000000000000000,1317932,10618.000000000000000,177718.000000000000000,28162,2352201,23847,1495650,41391,3670045
120,4/12/2021 15:00:00,24679,2199162,33106.000000000000000,1351038,10933.000000000000000,188651.000000000000000,35612,2387813,44039,1539689,68718,3738763
121,4/13/2021 15:00:00,126916,2326078,90626.000000000000000,1441664,3292.000000000000000,191943.000000000000000,130208,2518021,93918,1633607,220834,3959597
122,4/14/2021 15:00:00,40805,2366883,37806.000000000000000,1479470,207.000000000000000,192150.000000000000000,41012,2559033,38013,1671620,78818,4038415
123,4/15/2021 15:00:00,41831,2408714,39155.000000000000000,1518625,169.000000000000000,192319.000000000000000,42000,2601033,39324,1710944,81155,4119570
124,4/16/2021 15:00:00,37342,2446056,38709.000000000000000,1557334,22.000000000000000,192341.000000000000000,37364,2638397,38731,1749675,76073,4195643
125,4/17/2021 15:00:00,32983,2479039,21902.000000000000000,1579236,11.000000000000000,192352.000000000000000,32994,2671391,21913,1771588,54896,4250539
126,4/18/2021 15:00:00,20007,2499046,16122.000000000000000,1595358,4.000000000000000,192356.000000000000000,20011,2691402,16126,1787714,36133,4286672
127,4/19/2021 15:00:00,29952,2528998,36499.000000000000000,1631857,61.000000000000000,192417.000000000000000,30013,2721415,36560,1824274,66512,4353184
128,4/20/2021 15:00:00,33099,2562097,44051.000000000000000,1675908,54.000000000000000,192471.000000000000000,33153,2754568,44105,1868379,77204,4430388
129,4/21/2021 15:00:00,39790,2601887,46827.000000000000000,1722735,20.000000000000000,192491.000000000000000,39810,2794378,46847,1915226,86637,4517025
130,4/22/2021 15:00:00,36403,2638290,41841.000000000000000,1764576,16.000000000000000,192507.000000000000000,36419,2830797,41857,1957083,78260,4595285
131,4/23/2021 15:00:00,33129,2671419,39915.000000000000000,1804491,12.000000000000000,192519.000000000000000,33141,2863938,39927,1997010,73056,4668341
132,4/24/2021 15:00:00,26349,2697768,28540.000000000000000,1833031,80.000000000000000,192599.000000000000000,26429,2890367,28620,2025630,54969,4723310
133,4/25/2021 15:00:00,20190,2717958,10878.000000000000000,1843909,30.000000000000000,192629.000000000000000,20220,2910587,10908,2036538,31098,4754408
134,4/26/2021 15:00:00,27404,2745362,32697.000000000000000,1876606,203.000000000000000,192832.000000000000000,27607,2938194,32900,2069438,60304,4814712
135,4/27/2021 15:00:00,26712,2772074,32968.000000000000000,1909574,1094.000000000000000,193926.000000000000000,27806,2966000,34062,2103500,60774,4875486
136,4/28/2021 15:00:00,28974,2801048,39452.000000000000000,1949026,1359.000000000000000,195285.000000000000000,30333,2996333,40811,2144311,69785,4945271
137,4/29/2021 15:00:00,27386,2828434,39329.000000000000000,1988355,1463.000000000000000,196748.000000000000000,28849,3025182,40792,2185103,68178,5013449
138,4/30/2021 15:00:00,28208,2856642,32039.000000000000000,2020394,1637.000000000000000,198385.000000000000000,29845,3055027,33676,2218779,61884,5075333
139,5/1/2021 15:00:00,20213,2876855,26535.000000000000000,2046929,1007.000000000000000,199392.000000000000000,21220,3076247,27542,2246321,47755,5123088
140,5/2/2021 15:00:00,10247,2887102,16974.000000000000000,2063903,818.000000000000000,200210.000000000000000,11065,3087312,17792,2264113,28039,5151127
141,5/3/2021 15:00:00,13054,2900156,29682.000000000000000,2093585,1914.000000000000000,202124.000000000000000,14968,3102280,31596,2295709,44650,5195777
