ZIP_CODE,FirstDose,SecondDose,SingleDose,AtleastOneDose,FullyVaccinated
1095,6.0,3.0,,,
1104,6.0,5.0,,,
1106,14.0,7.0,1.0,15.0,8.0
1115,1.0,1.0,,,
1129,2.0,2.0,,,
1240,5.0,4.0,,,
1247,3.0,3.0,,,
1254,3.0,,,,
1331,2.0,,,,
1440,5.0,5.0,,,
1463,3.0,2.0,,,
1506,1.0,,,,
1515,1.0,,,,
1522,1.0,,,,
1524,2.0,1.0,,,
1540,1.0,1.0,1.0,2.0,2.0
1581,19.0,11.0,1.0,20.0,12.0
1583,4.0,3.0,,,
1588,1.0,1.0,,,
1590,7.0,5.0,,,
1606,7.0,6.0,,,
1608,2.0,2.0,,,
1731,11.0,4.0,,,
1740,5.0,,,,
1742,21.0,12.0,1.0,22.0,13.0
1747,2.0,,2.0,4.0,
1749,7.0,4.0,1.0,8.0,5.0
1756,2.0,1.0,,,
1772,17.0,12.0,,,
1824,8.0,4.0,1.0,9.0,5.0
1833,7.0,2.0,1.0,8.0,3.0
1840,1.0,1.0,,,
1867,16.0,7.0,,,
1890,23.0,11.0,1.0,24.0,12.0
1906,6.0,3.0,,,
1908,4.0,3.0,,,
1915,18.0,6.0,3.0,21.0,9.0
1922,2.0,2.0,,,
1940,6.0,4.0,,,
1949,2.0,1.0,,,
1951,2.0,1.0,,,
1983,6.0,5.0,,,
2026,8.0,3.0,1.0,9.0,4.0
2056,10.0,9.0,,,
2067,35.0,23.0,5.0,40.0,28.0
2081,12.0,8.0,1.0,13.0,9.0
2090,13.0,9.0,,,
2108,4.0,3.0,,,
2115,51.0,25.0,1.0,52.0,26.0
2117,2.0,2.0,,,
2124,19.0,6.0,1.0,20.0,7.0
2126,10.0,8.0,,,
2131,15.0,8.0,,,
2135,70.0,35.0,1.0,71.0,36.0
2140,43.0,18.0,,,
2142,7.0,5.0,,,
2149,4.0,1.0,2.0,6.0,3.0
2151,15.0,8.0,,,
2174,1.0,1.0,,,
2176,12.0,9.0,1.0,13.0,10.0
2190,5.0,3.0,,,
2199,2.0,2.0,,,
2210,5.0,2.0,3.0,8.0,5.0
2215,64.0,36.0,2.0,66.0,38.0
2301,19.0,11.0,,,
2324,9.0,6.0,,,
2132,17.0,13.0,,,
2134,46.0,25.0,2.0,48.0,27.0
2141,22.0,5.0,3.0,25.0,8.0
2143,31.0,14.0,2.0,33.0,16.0
2148,35.0,27.0,2.0,37.0,29.0
2150,10.0,5.0,,,
2173,1.0,1.0,,,
2184,16.0,10.0,,,
2191,1.0,1.0,,,
2302,9.0,4.0,,,
2332,8.0,7.0,,,
2334,1.0,1.0,,,
2341,1.0,,,,
2343,1.0,1.0,,,
2359,6.0,5.0,1.0,7.0,6.0
2368,19.0,12.0,,,
2375,6.0,6.0,1.0,7.0,7.0
2382,1.0,,,,
2452,15.0,10.0,1.0,16.0,11.0
2457,2.0,2.0,,,
2459,35.0,22.0,,,
2466,8.0,5.0,,,
2468,8.0,4.0,,,
2482,14.0,6.0,,,
2493,13.0,9.0,,,
2532,4.0,2.0,,,
2534,1.0,1.0,,,
2536,10.0,5.0,1.0,11.0,6.0
2568,6.0,3.0,,,
2575,1.0,1.0,,,
2652,1.0,,,,
2666,2.0,1.0,,,
2668,1.0,,,,
2702,1.0,,,,
2718,2.0,2.0,,,
2743,4.0,2.0,,,
2745,,,1.0,,
2766,8.0,4.0,,,
2770,1.0,,,,
2777,1.0,,,,
2809,16.0,12.0,1.0,17.0,13.0
2811,1.0,1.0,,,
2818,16.0,9.0,,,
2825,4.0,1.0,,,
2827,1.0,1.0,,,
2852,10.0,6.0,3.0,13.0,9.0
2859,2.0,2.0,,,
2861,6.0,4.0,,,
2877,1.0,,,,
2886,12.0,9.0,,,
2893,6.0,4.0,,,
2895,5.0,3.0,,,
2909,10.0,5.0,1.0,11.0,6.0
2911,6.0,5.0,,,
2920,8.0,7.0,,,
3029,1.0,1.0,,,
3034,2.0,,,,
3036,5.0,4.0,,,
3043,1.0,1.0,,,
3045,3.0,2.0,,,
3052,2.0,1.0,,,
3054,7.0,4.0,,,
3070,,,1.0,,
3077,1.0,,,,
3079,5.0,3.0,,,
3084,1.0,,,,
3086,5.0,4.0,,,
3102,9.0,4.0,,,
3104,6.0,6.0,,,
3109,2.0,1.0,,,
3220,1.0,1.0,,,
3227,4.0,1.0,,,
3229,6.0,4.0,,,
3254,1.0,,,,
3259,1.0,1.0,,,
3261,3.0,1.0,,,
3302,1.0,1.0,,,
3304,,,2.0,,
3445,1.0,1.0,,,
3461,1.0,,,,
3561,1.0,1.0,,,
3570,1.0,1.0,,,
3602,3.0,,,,
3779,1.0,,,,
3781,2.0,2.0,,,
3811,3.0,,,,
3820,9.0,6.0,,,
3872,1.0,1.0,,,
3904,2.0,,,,
3906,1.0,,,,
3911,1.0,1.0,,,
4011,9.0,4.0,1.0,10.0,5.0
4038,3.0,3.0,,,
4040,1.0,1.0,,,
4072,4.0,3.0,,,
4079,2.0,1.0,1.0,3.0,2.0
4088,1.0,,,,
4090,2.0,1.0,,,
4104,1.0,,1.0,2.0,
4106,16.0,8.0,2.0,18.0,10.0
4220,1.0,,,,
4222,1.0,1.0,,,
4240,7.0,6.0,,,
4274,1.0,,,,
4281,1.0,1.0,,,
4347,4.0,1.0,,,
4429,1.0,1.0,,,
2119,18.0,6.0,1.0,19.0,7.0
2120,36.0,18.0,2.0,38.0,20.0
2121,13.0,7.0,,,
2122,5.0,5.0,,,
2136,19.0,10.0,2.0,21.0,12.0
2137,1.0,1.0,,,
2138,78.0,37.0,,,
2139,73.0,40.0,5.0,78.0,45.0
2152,5.0,3.0,,,
2155,51.0,21.0,3.0,54.0,24.0
2169,30.0,25.0,,,
2170,4.0,3.0,1.0,5.0,4.0
2171,10.0,3.0,,,
2186,23.0,13.0,1.0,24.0,14.0
2188,4.0,2.0,,,
2189,3.0,2.0,,,
2220,1.0,1.0,,,
2238,1.0,,,,
2254,1.0,,,,
2322,2.0,1.0,,,
2338,1.0,,,,
2339,2.0,1.0,1.0,3.0,2.0
2356,8.0,6.0,,,
2370,4.0,3.0,,,
2420,16.0,10.0,,,
2421,20.0,11.0,1.0,21.0,12.0
2453,25.0,12.0,3.0,28.0,15.0
2454,1.0,1.0,,,
2472,32.0,16.0,2.0,34.0,18.0
2537,1.0,1.0,1.0,2.0,2.0
2539,2.0,,,,
2540,10.0,3.0,1.0,11.0,4.0
2554,7.0,1.0,,,
2556,1.0,,,,
2557,3.0,2.0,,,
2571,5.0,3.0,,,
2638,3.0,1.0,,,
2639,4.0,1.0,,,
2655,1.0,1.0,,,
2657,2.0,,,,
2670,2.0,2.0,,,
2673,3.0,2.0,,,
2720,3.0,2.0,,,
2721,1.0,1.0,,,
2723,2.0,,,,
2724,2.0,1.0,,,
2738,4.0,3.0,,,
2740,7.0,2.0,1.0,8.0,3.0
2771,2.0,1.0,,,
2790,1.0,1.0,,,
2806,11.0,6.0,1.0,12.0,7.0
2822,1.0,1.0,,,
2840,21.0,9.0,1.0,22.0,10.0
2854,1.0,1.0,,,
2857,4.0,1.0,,,
2871,7.0,4.0,,,
2873,1.0,1.0,,,
2874,8.0,4.0,,,
2888,4.0,1.0,,,
2889,7.0,4.0,,,
2891,9.0,7.0,,,
2904,9.0,4.0,,,
2905,9.0,5.0,5.0,14.0,10.0
2906,53.0,33.0,2.0,55.0,35.0
2907,7.0,4.0,,,
2921,1.0,1.0,,,
2940,1.0,1.0,,,
3038,6.0,3.0,2.0,8.0,5.0
3055,9.0,6.0,,,
3071,2.0,,,,
3106,2.0,1.0,1.0,3.0,2.0
3225,1.0,1.0,,,
3242,2.0,1.0,,,
3255,1.0,,,,
3256,1.0,1.0,1.0,2.0,2.0
3257,1.0,,,,
3275,2.0,2.0,,,
3290,1.0,,,,
3307,1.0,1.0,,,
3458,4.0,1.0,,,
3574,1.0,,,,
3576,1.0,1.0,,,
3608,1.0,1.0,,,
3740,1.0,,,,
3741,4.0,2.0,,,
3743,1.0,,,,
3809,1.0,,,,
3810,1.0,,,,
3824,3.0,1.0,,,
3825,3.0,1.0,,,
3826,2.0,2.0,,,
3827,3.0,2.0,,,
3840,1.0,,,,
3841,,,1.0,,
3842,3.0,2.0,,,
3857,2.0,2.0,,,
3858,2.0,1.0,,,
3860,2.0,1.0,,,
3894,4.0,1.0,,,
3907,1.0,,,,
3908,1.0,1.0,1.0,2.0,2.0
3909,5.0,3.0,,,
3910,1.0,1.0,,,
4009,2.0,1.0,1.0,3.0,2.0
4043,3.0,2.0,,,
4074,10.0,5.0,1.0,11.0,6.0
4092,3.0,2.0,,,
2351,4.0,2.0,,,
2360,19.0,13.0,,,
2367,1.0,,,,
2451,8.0,5.0,,,
2458,12.0,7.0,2.0,14.0,9.0
2460,13.0,7.0,1.0,14.0,8.0
2467,30.0,17.0,1.0,31.0,18.0
2474,16.0,5.0,,,
2476,20.0,12.0,2.0,22.0,14.0
2492,25.0,14.0,1.0,26.0,15.0
2494,14.0,11.0,1.0,15.0,12.0
2535,6.0,2.0,,,
2542,3.0,2.0,,,
2574,1.0,,,,
2576,1.0,1.0,,,
2601,4.0,4.0,,,
2633,2.0,,,,
2635,1.0,1.0,,,
2642,5.0,2.0,1.0,6.0,3.0
2644,6.0,5.0,,,
2649,4.0,2.0,1.0,5.0,3.0
2653,5.0,3.0,,,
2667,2.0,1.0,,,
2669,1.0,,,,
2703,11.0,7.0,2.0,13.0,9.0
2726,3.0,3.0,,,
2744,1.0,1.0,,,
2760,15.0,12.0,,,
2767,2.0,,,,
2783,2.0,1.0,,,
2817,6.0,4.0,,,
2828,1.0,1.0,,,
2835,2.0,1.0,,,
2842,12.0,8.0,1.0,13.0,9.0
2858,1.0,1.0,,,
2860,10.0,7.0,,,
2878,7.0,3.0,,,
2885,7.0,4.0,1.0,8.0,5.0
2903,17.0,8.0,1.0,18.0,9.0
2908,14.0,9.0,,,
2910,6.0,4.0,,,
2912,1.0,,1.0,2.0,
2917,2.0,1.0,,,
2919,6.0,5.0,,,
3037,1.0,,,,
3042,1.0,1.0,,,
3044,1.0,,,,
3053,9.0,7.0,,,
3060,7.0,4.0,,,
3062,12.0,6.0,,,
3076,3.0,2.0,,,
3087,3.0,1.0,1.0,4.0,2.0
3101,4.0,,,,
3103,6.0,5.0,,,
3110,13.0,9.0,1.0,14.0,10.0
3221,18.0,1.0,,,
3235,3.0,,,,
3237,1.0,1.0,,,
3253,4.0,4.0,,,
3260,3.0,1.0,,,
3276,2.0,2.0,,,
3278,1.0,,,,
3287,1.0,1.0,,,
3301,9.0,3.0,,,
3303,1.0,1.0,,,
3401,1.0,1.0,,,
3444,2.0,1.0,1.0,3.0,2.0
3446,2.0,,,,
3455,1.0,1.0,,,
3462,1.0,,,,
3580,1.0,,,,
3603,3.0,1.0,,,
3753,1.0,1.0,,,
3755,20.0,6.0,1.0,21.0,7.0
3814,1.0,,,,
3839,2.0,2.0,,,
3844,1.0,1.0,,,
3846,1.0,1.0,,,
3848,1.0,1.0,,,
3853,3.0,1.0,,,
3862,1.0,1.0,,,
3878,1.0,,,,
3903,1.0,,,,
3905,1.0,,,,
4003,1.0,,,,
4005,3.0,1.0,1.0,4.0,2.0
4014,1.0,1.0,,,
4021,3.0,1.0,1.0,4.0,2.0
4037,,,1.0,,
4046,5.0,4.0,,,
4055,1.0,1.0,1.0,2.0,2.0
4062,4.0,3.0,,,
4064,1.0,1.0,,,
4071,2.0,,,,
4073,4.0,3.0,,,
4078,2.0,,,,
4087,1.0,1.0,,,
4096,3.0,3.0,1.0,4.0,4.0
4103,9.0,4.0,,,
4105,9.0,5.0,1.0,10.0,6.0
4107,6.0,4.0,,,
4257,1.0,1.0,,,
4280,2.0,1.0,,,
4287,1.0,1.0,,,
4330,5.0,3.0,3.0,8.0,6.0
4355,1.0,1.0,,,
4357,1.0,,1.0,2.0,
2180,6.0,4.0,,,
2330,1.0,1.0,1.0,2.0,2.0
2331,1.0,1.0,,,
2345,1.0,,,,
2347,10.0,6.0,,,
2364,7.0,4.0,,,
2379,2.0,,,,
2445,19.0,8.0,3.0,22.0,11.0
2446,54.0,32.0,2.0,56.0,34.0
2461,5.0,1.0,,,
2462,1.0,1.0,,,
2464,3.0,2.0,,,
2465,12.0,8.0,,,
2478,26.0,13.0,3.0,29.0,16.0
2481,23.0,12.0,1.0,24.0,13.0
2562,2.0,1.0,,,
2563,7.0,5.0,,,
2630,1.0,,,,
2631,5.0,4.0,,,
2632,7.0,4.0,,,
2645,4.0,4.0,,,
2646,3.0,2.0,,,
2648,3.0,1.0,,,
2662,1.0,1.0,,,
2664,3.0,1.0,1.0,4.0,2.0
2746,3.0,2.0,,,
2748,3.0,,1.0,4.0,
2762,3.0,2.0,,,
2763,3.0,3.0,1.0,4.0,4.0
2779,5.0,3.0,,,
2780,3.0,3.0,,,
2781,1.0,1.0,,,
2813,8.0,7.0,,,
2814,4.0,,,,
2816,4.0,4.0,1.0,5.0,5.0
2830,2.0,2.0,,,
2831,1.0,1.0,,,
2863,5.0,4.0,,,
2864,7.0,5.0,1.0,8.0,6.0
2865,4.0,4.0,,,
2879,15.0,11.0,2.0,17.0,13.0
2881,4.0,2.0,,,
2882,6.0,5.0,,,
2896,1.0,,,,
2914,4.0,2.0,,,
2915,6.0,5.0,1.0,7.0,6.0
2916,2.0,1.0,1.0,3.0,2.0
3031,6.0,4.0,,,
3032,1.0,,,,
3033,1.0,,,,
3049,2.0,1.0,,,
3063,10.0,7.0,,,
3064,1.0,,,,
3215,1.0,1.0,,,
3216,1.0,,,,
3217,1.0,1.0,,,
3230,1.0,1.0,,,
3249,1.0,1.0,1.0,2.0,2.0
3266,1.0,,,,
3431,6.0,4.0,1.0,7.0,5.0
3465,1.0,1.0,,,
3581,2.0,,,,
3582,2.0,,,,
3748,,,2.0,,
3750,1.0,,,,
3765,1.0,,,,
3766,8.0,3.0,,,
3782,1.0,,,,
3784,4.0,1.0,,,
3801,12.0,7.0,1.0,13.0,8.0
3802,2.0,,1.0,3.0,
3816,1.0,,,,
3833,8.0,4.0,,,
3835,,,1.0,,
3851,1.0,1.0,,,
3865,1.0,,,,
3867,3.0,1.0,,,
3868,1.0,,,,
3885,3.0,2.0,,,
3901,3.0,2.0,,,
4032,2.0,,,,
4051,2.0,2.0,,,
4085,1.0,,,,
4086,3.0,2.0,,,
4101,9.0,4.0,1.0,10.0,5.0
4102,16.0,9.0,2.0,18.0,11.0
4217,1.0,,,,
4250,1.0,1.0,,,
4268,2.0,,,,
4270,1.0,1.0,,,
4350,1.0,1.0,,,
4351,2.0,1.0,,,
4352,,,1.0,,
4401,7.0,5.0,,,
4402,1.0,,,,
4419,1.0,,,,
4468,2.0,2.0,,,
4535,1.0,,1.0,2.0,
4553,1.0,,,,
4634,1.0,1.0,,,
4654,2.0,2.0,,,
4684,2.0,2.0,,,
4734,,,1.0,,
4769,1.0,,,,
4854,1.0,1.0,,,
4901,6.0,1.0,,,
4938,1.0,,,,
4093,1.0,1.0,,,
4108,1.0,1.0,,,
4210,6.0,3.0,,,
4243,1.0,1.0,,,
4258,2.0,,,,
4259,1.0,1.0,,,
4260,1.0,1.0,,,
4276,1.0,,,,
4344,1.0,1.0,,,
4345,4.0,2.0,,,
4358,,,1.0,,
4410,2.0,2.0,,,
4412,1.0,1.0,,,
4444,2.0,2.0,1.0,3.0,3.0
4459,1.0,,,,
4461,1.0,1.0,,,
4493,1.0,,,,
4578,1.0,1.0,,,
4579,3.0,2.0,,,
4609,6.0,2.0,,,
4677,3.0,2.0,,,
4679,1.0,,,,
4843,4.0,,,,
4860,1.0,,,,
4863,1.0,1.0,,,
4963,1.0,1.0,,,
5043,1.0,1.0,,,
5060,2.0,,,,
5061,1.0,1.0,,,
5077,1.0,1.0,,,
5346,4.0,,,,
5445,3.0,1.0,,,
5446,5.0,4.0,1.0,6.0,5.0
5464,,,1.0,,
5478,1.0,,1.0,2.0,
5495,6.0,2.0,,,
5663,,,1.0,,
5679,1.0,,,,
5730,1.0,1.0,,,
5830,1.0,1.0,,,
5832,2.0,,,,
5862,1.0,1.0,,,
6013,6.0,3.0,,,
6016,6.0,6.0,,,
6030,1.0,1.0,,,
6032,15.0,9.0,,,
6033,19.0,9.0,1.0,20.0,10.0
6063,1.0,,,,
6066,14.0,8.0,,,
6081,1.0,1.0,,,
6082,9.0,7.0,,,
6096,4.0,4.0,,,
6098,3.0,2.0,,,
6114,8.0,6.0,,,
6231,3.0,1.0,,,
6232,1.0,1.0,2.0,3.0,3.0
6248,6.0,5.0,1.0,7.0,6.0
6249,3.0,,1.0,4.0,
6250,5.0,4.0,,,
6280,4.0,3.0,1.0,5.0,4.0
6281,3.0,3.0,,,
6330,1.0,1.0,,,
6333,2.0,,,,
6382,4.0,1.0,,,
6384,1.0,1.0,,,
