OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
220,3/25/2020 15:00:00,age60to69,2,35,,1,,0,,36,,1
221,3/26/2020 15:00:00,age70to79,,36,1,6,,0,,42,,6
222,3/29/2020 15:00:00,age60to69,1,36,,1,,0,,37,,1
223,3/31/2020 15:00:00,age10to19,1,20,,0,,0,,20,,0
224,4/1/2020 15:00:00,age10to19,,20,1,1,,0,,21,,1
225,4/1/2020 15:00:00,age20to29,2,25,,2,,0,,27,,2
226,4/1/2020 15:00:00,age50to59,1,37,,3,,0,,40,,3
227,4/1/2020 15:00:00,age60to69,2,38,1,2,,0,,40,,2
228,4/1/2020 15:00:00,age70to79,1,37,,6,,0,,43,,6
229,4/5/2020 15:00:00,age30to39,1,34,,4,,0,,38,,4
230,4/5/2020 15:00:00,age60to69,1,39,,2,,0,,41,,2
231,4/7/2020 15:00:00,age20to29,1,26,,2,,0,,28,,2
232,4/7/2020 15:00:00,age50to59,1,38,,3,,0,,41,,3
233,4/8/2020 15:00:00,age30to39,1,35,,4,,0,,39,,4
234,4/8/2020 15:00:00,age50to59,2,40,,3,,0,,43,,3
235,4/9/2020 15:00:00,age40to49,1,34,,3,,0,,37,,3
236,4/10/2020 15:00:00,age30to39,1,36,,4,,0,,40,,4
237,4/11/2020 15:00:00,age10to19,1,21,,1,,0,,22,,1
238,4/13/2020 15:00:00,age10to19,1,22,,1,,0,,23,,1
239,4/14/2020 15:00:00,age40to49,1,35,,3,,0,,38,,3
240,4/15/2020 15:00:00,age30to39,1,37,,4,,0,,41,,4
241,4/15/2020 15:00:00,age40to49,1,36,,3,,0,,39,,3
242,4/16/2020 15:00:00,age10to19,1,23,,1,,0,,24,,1
243,4/16/2020 15:00:00,age40to49,1,37,,3,,0,,40,,3
244,4/19/2020 15:00:00,age40to49,1,38,,3,,0,,41,,3
245,4/19/2020 15:00:00,age50to59,1,41,,3,,0,,44,,3
246,4/20/2020 15:00:00,age30to39,1,38,,4,,0,,42,,4
247,4/20/2020 15:00:00,age50to59,2,43,,3,,0,,46,,3
248,4/20/2020 15:00:00,age60to69,,39,1,3,,0,,42,,3
249,4/21/2020 15:00:00,age50to59,1,44,,3,,0,,47,,3
250,4/22/2020 15:00:00,age40to49,,38,1,4,,0,,42,,4
251,4/22/2020 15:00:00,age60to69,,39,1,4,,0,,43,,4
