OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
172,12/21/2020 15:00:00,age60to69,457,1204,0,7
173,12/22/2020 15:00:00,age60to69,888,2092,0,7
174,12/22/2020 15:00:00,age40to49,1185,3377,0,4
175,12/22/2020 15:00:00,age70to79,317,473,0,5
176,12/22/2020 15:00:00,age10to19,28,38,0,0
177,12/22/2020 15:00:00,age50to59,1233,3123,1,12
178,12/22/2020 15:00:00,age30to39,1247,3892,2,5
179,12/22/2020 15:00:00,age80plus,616,625,0,1
180,12/22/2020 15:00:00,age20to29,658,1950,0,2
181,12/23/2020 15:00:00,age50to59,1167,4290,1,13
182,12/23/2020 15:00:00,age80plus,183,808,0,1
183,12/23/2020 15:00:00,age30to39,1228,5120,2,7
184,12/23/2020 15:00:00,age10to19,8,46,0,0
185,12/23/2020 15:00:00,age20to29,667,2617,0,2
186,12/23/2020 15:00:00,age60to69,843,2935,1,8
187,12/23/2020 15:00:00,age40to49,1185,4562,0,4
188,12/23/2020 15:00:00,age70to79,168,641,0,5
189,12/24/2020 15:00:00,age40to49,577,5139,0,4
190,12/24/2020 15:00:00,age70to79,68,709,0,5
191,12/24/2020 15:00:00,age60to69,422,3357,0,8
192,12/24/2020 15:00:00,age80plus,9,817,0,1
193,12/24/2020 15:00:00,age10to19,4,50,0,0
194,12/24/2020 15:00:00,age50to59,584,4874,0,13
195,12/24/2020 15:00:00,age20to29,348,2965,0,2
196,12/24/2020 15:00:00,age30to39,620,5740,1,8
197,12/25/2020 15:00:00,age30to39,79,5819,0,8
198,12/25/2020 15:00:00,age80plus,239,1056,0,1
199,12/25/2020 15:00:00,age50to59,223,5097,0,13
200,12/25/2020 15:00:00,age60to69,188,3545,0,8
201,12/25/2020 15:00:00,age10to19,26,76,0,0
202,12/25/2020 15:00:00,age20to29,70,3035,0,2
203,12/25/2020 15:00:00,age70to79,78,787,0,5
204,12/25/2020 15:00:00,age40to49,127,5266,0,4
205,12/26/2020 15:00:00,age70to79,153,940,1,6
206,12/26/2020 15:00:00,age40to49,259,5525,0,4
207,12/26/2020 15:00:00,age60to69,309,3854,0,8
208,12/26/2020 15:00:00,age50to59,380,5477,0,13
209,12/26/2020 15:00:00,age80plus,165,1221,0,1
210,12/26/2020 15:00:00,age10to19,10,86,0,0
211,12/26/2020 15:00:00,age20to29,133,3168,0,2
212,12/26/2020 15:00:00,age30to39,235,6054,0,8
213,12/27/2020 15:00:00,age50to59,337,5814,1,14
214,12/27/2020 15:00:00,age80plus,231,1452,0,1
215,12/27/2020 15:00:00,age60to69,308,4162,0,8
216,12/27/2020 15:00:00,age30to39,281,6335,0,8
217,12/27/2020 15:00:00,age40to49,311,5836,0,4
218,12/27/2020 15:00:00,age70to79,151,1091,0,6
219,12/27/2020 15:00:00,age20to29,142,3310,0,2
220,12/27/2020 15:00:00,age10to19,4,90,0,0
221,12/28/2020 15:00:00,age20to29,1157,4467,0,2
222,12/28/2020 15:00:00,age50to59,1826,7640,0,14
223,12/28/2020 15:00:00,age10to19,12,102,0,0
224,12/28/2020 15:00:00,age80plus,275,1727,0,1
225,12/28/2020 15:00:00,age60to69,1312,5474,0,8
226,12/28/2020 15:00:00,age40to49,1716,7552,0,4
227,12/28/2020 15:00:00,age70to79,350,1441,1,7
228,12/28/2020 15:00:00,age30to39,1934,8269,3,11
229,12/29/2020 15:00:00,age60to69,1712,7186,1,9
230,12/29/2020 15:00:00,age40to49,2011,9563,0,4
231,12/29/2020 15:00:00,age70to79,566,2007,0,7
232,12/29/2020 15:00:00,age30to39,2121,10390,1,12
233,12/29/2020 15:00:00,age10to19,27,129,0,0
234,12/29/2020 15:00:00,age50to59,2240,9880,1,15
235,12/29/2020 15:00:00,age80plus,298,2025,0,1
236,12/29/2020 15:00:00,age20to29,1323,5790,0,2
237,12/30/2020 15:00:00,age20to29,1766,7556,1,3
238,12/30/2020 15:00:00,age10to19,62,191,0,0
239,12/30/2020 15:00:00,age50to59,2699,12579,0,15
240,12/30/2020 15:00:00,age80plus,159,2184,0,1
241,12/30/2020 15:00:00,age30to39,2634,13024,1,13
242,12/30/2020 15:00:00,age60to69,1846,9032,2,11
243,12/30/2020 15:00:00,age40to49,2534,12097,2,6
244,12/30/2020 15:00:00,age70to79,447,2454,0,7
245,12/31/2020 15:00:00,age60to69,1164,10196,2,13
246,12/31/2020 15:00:00,age70to79,318,2772,0,7
247,12/31/2020 15:00:00,age40to49,1472,13569,1,7
248,12/31/2020 15:00:00,age80plus,74,2258,0,1
249,12/31/2020 15:00:00,age50to59,1541,14120,0,15
250,12/31/2020 15:00:00,age20to29,1079,8635,0,3
251,12/31/2020 15:00:00,age30to39,1599,14623,0,13
252,12/31/2020 15:00:00,age10to19,49,240,0,0
253,1/1/2021 15:00:00,age20to29,92,8727,2,5
254,1/1/2021 15:00:00,age80plus,358,2616,0,1
255,1/1/2021 15:00:00,age30to39,157,14780,1,14
256,1/1/2021 15:00:00,age70to79,159,2931,0,7
257,1/1/2021 15:00:00,age60to69,228,10424,1,14
258,1/1/2021 15:00:00,age40to49,213,13782,2,9
259,1/1/2021 15:00:00,age10to19,5,245,0,0
260,1/1/2021 15:00:00,age50to59,256,14376,5,20
261,1/2/2021 15:00:00,age20to29,415,9142,6,11
262,1/2/2021 15:00:00,age70to79,172,3103,0,7
263,1/2/2021 15:00:00,age40to49,385,14167,4,13
264,1/2/2021 15:00:00,age30to39,470,15250,7,21
265,1/2/2021 15:00:00,age10to19,9,254,0,0
266,1/2/2021 15:00:00,age50to59,394,14770,1,21
267,1/2/2021 15:00:00,age80plus,302,2918,0,1
268,1/2/2021 15:00:00,age60to69,380,10804,3,17
269,1/3/2021 15:00:00,age20to29,488,9630,17,28
270,1/3/2021 15:00:00,age30to39,507,15757,29,50
271,1/3/2021 15:00:00,age70to79,243,3346,2,9
272,1/3/2021 15:00:00,age40to49,501,14668,8,21
273,1/3/2021 15:00:00,age60to69,501,11305,2,19
274,1/3/2021 15:00:00,age10to19,12,266,0,0
275,1/3/2021 15:00:00,age50to59,622,15392,9,30
276,1/3/2021 15:00:00,age80plus,273,3191,0,1
277,1/4/2021 15:00:00,age30to39,2352,18109,70,120
278,1/4/2021 15:00:00,age20to29,1687,11317,52,80
279,1/4/2021 15:00:00,age40to49,2403,17071,47,68
280,1/4/2021 15:00:00,age70to79,716,4062,3,12
281,1/4/2021 15:00:00,age60to69,2163,13468,25,44
282,1/4/2021 15:00:00,age80plus,699,3890,1,2
283,1/4/2021 15:00:00,age50to59,2682,18074,40,70
284,1/4/2021 15:00:00,age10to19,86,352,2,2
285,1/5/2021 15:00:00,age40to49,2175,19246,102,170
286,1/5/2021 15:00:00,age30to39,2204,20313,109,229
287,1/5/2021 15:00:00,age70to79,724,4786,8,20
288,1/5/2021 15:00:00,age60to69,1878,15346,47,91
289,1/5/2021 15:00:00,age80plus,678,4568,0,2
290,1/5/2021 15:00:00,age20to29,1470,12787,72,152
291,1/5/2021 15:00:00,age50to59,2465,20539,89,159
292,1/5/2021 15:00:00,age10to19,58,410,0,2
293,1/6/2021 15:00:00,age50to59,3236,23775,125,284
294,1/6/2021 15:00:00,age80plus,584,5152,0,2
295,1/6/2021 15:00:00,age10to19,74,484,0,2
296,1/6/2021 15:00:00,age20to29,1741,14528,138,290
297,1/6/2021 15:00:00,age30to39,2723,23036,228,457
298,1/6/2021 15:00:00,age40to49,2778,22024,173,343
299,1/6/2021 15:00:00,age70to79,856,5642,7,27
300,1/6/2021 15:00:00,age60to69,2308,17654,91,182
301,1/7/2021 15:00:00,age40to49,2850,24874,384,727
302,1/7/2021 15:00:00,age30to39,2953,25989,467,924
303,1/7/2021 15:00:00,age70to79,768,6410,27,54
304,1/7/2021 15:00:00,age60to69,2316,19970,195,377
305,1/7/2021 15:00:00,age20to29,1946,16474,200,490
306,1/7/2021 15:00:00,age10to19,83,567,1,3
