VACCINATION_DATE,AgeRange,FirstDailyDose,PercentFirstDailyDose,SecondDailyDose,PercentSecondDailyDose,SingleDailyDose,PercentSingleDailyDose,CombinedAllDoses,PercentCombinedAllDoses,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
2021-02-15,18-49,2787.0,0.11,4162.0,0.165,,,,,,,2787.0,0.11
2021-02-15,50-64,1843.0,0.15,2144.0,0.175,,,,,,,1843.0,0.15
2021-02-15,65 and Older,6963.0,0.726,6495.0,0.677,,,,,,,6963.0,0.726
2021-02-16,12-17,25.0,0.006,14.0,0.003,,,,,,,25.0,0.006
2021-02-16,18-49,4277.0,0.169,5912.0,0.234,,,,,,,4277.0,0.169
2021-02-16,50-64,3242.0,0.264,3607.0,0.294,,,,,,,3242.0,0.264
2021-02-16,65 and Older,8933.0,0.931,11030.0,1.15,,,,,,,8933.0,0.931
2021-02-17,12-17,5.0,0.001,18.0,0.004,,,,,,,5.0,0.001
2021-02-17,18-49,6268.0,0.248,7726.0,0.306,,,,,,,6268.0,0.248
2021-02-17,50-64,4203.0,0.342,4822.0,0.393,,,,,,,4203.0,0.342
2021-02-17,65 and Older,10039.0,1.046,13278.0,1.384,,,,,,,10039.0,1.046
2021-02-18,12-17,4.0,0.001,1.0,0.0,,,,,,,4.0,0.001
2021-02-18,18-49,970.0,0.038,1438.0,0.057,,,,,,,970.0,0.038
2021-02-18,50-64,689.0,0.056,1009.0,0.082,,,,,,,689.0,0.056
2021-02-18,65 and Older,1448.0,0.151,1948.0,0.203,,,,,,,1448.0,0.151
2021-02-19,12-17,12.0,0.003,19.0,0.004,,,,,,,12.0,0.003
2021-02-19,18-49,2814.0,0.112,6234.0,0.247,,,,,,,2814.0,0.112
2021-02-19,50-64,1953.0,0.159,3910.0,0.318,,,,,,,1953.0,0.159
2021-02-19,65 and Older,5709.0,0.595,9026.0,0.941,,,,,,,5709.0,0.595
2021-02-20,12-17,27.0,0.006,35.0,0.008,,,,,,,27.0,0.006
2021-02-20,18-49,2800.0,0.111,5954.0,0.236,,,,,,,2800.0,0.111
2021-02-20,50-64,1944.0,0.158,3472.0,0.283,,,,,,,1944.0,0.158
2021-02-20,65 and Older,5468.0,0.57,10359.0,1.08,,,,,,,5468.0,0.57
2021-02-21,12-17,14.0,0.003,12.0,0.003,,,,,,,14.0,0.003
2021-02-21,18-49,1356.0,0.054,1530.0,0.061,,,,,,,1356.0,0.054
2021-02-21,50-64,980.0,0.08,928.0,0.076,,,,,,,980.0,0.08
2021-02-21,65 and Older,3713.0,0.387,4945.0,0.515,,,,,,,3713.0,0.387
2021-02-22,12-17,13.0,0.003,22.0,0.005,,,,,,,13.0,0.003
2021-02-22,18-49,2043.0,0.081,4453.0,0.176,,,,,,,2043.0,0.081
2021-02-22,50-64,1425.0,0.116,2790.0,0.227,,,,,,,1425.0,0.116
